code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3251491787810	https://world.openfoodfacts.org/product/3251491787810	miles67off	1379369956	1581442641	Goûter aux raisins	Goûter aux raisins (10,1%)	360g	carton,sachet plastique,paquet,boîte	carton,sachet-plastique,paquet,boite	Gerblé	gerble	Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits secs	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:dry-biscuits			France	france	Low or no salt, Low or no sugar, Low sugar, Reduced sugar, 30% less sugar, No preservatives, No salt, Palm oil free, Without sweeteners, en:no-colorings	en:low-or-no-salt,en:low-or-no-sugar,en:low-sugar,en:reduced-sugar,en:30-less-sugar,en:no-colorings,en:no-preservatives,en:no-salt,en:palm-oil-free,en:without-sweeteners					france	Magasins U	Belgium,France, en:switzerland	"Farine de blé 59,5%, sucre de canne roux, huile de colza, raisins secs 10%, farine de soja, pâte de raisins 3,3%, fibres de chicorée : fructooligosaccharides, poudres à lever (carbonates de potassium, carbonates d'ammonium), protéines de lait. Fabriqué dans un atelier qui utilise des fruits à coque, du lupin, de l'oeuf et du sésame."	en:gluten,en:lupin,en:milk,en:nuts,en:soybeans	en:eggs,en:gluten,en:lupin,en:milk,en:nuts,en:sesame-seeds,en:soybeans	en:eggs,en:lupin,en:nuts	en:eggs,en:lupin,en:nuts	60g	60		1	en:e502	0			0			0	b	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:dry-biscuits	https://static.openfoodfacts.org/images/products/325/149/178/7810/front_fr.84.400.jpg	https://static.openfoodfacts.org/images/products/325/149/178/7810/front_fr.84.200.jpg	https://static.openfoodfacts.org/images/products/325/149/178/7810/front_fr.84.400.jpg	https://static.openfoodfacts.org/images/products/325/149/178/7810/front_fr.84.200.jpg	https://static.openfoodfacts.org/images/products/325/149/178/7810/ingredients_fr.85.400.jpg	https://static.openfoodfacts.org/images/products/325/149/178/7810/ingredients_fr.85.200.jpg	https://static.openfoodfacts.org/images/products/325/149/178/7810/nutrition_fr.86.400.jpg	https://static.openfoodfacts.org/images/products/325/149/178/7810/nutrition_fr.86.200.jpg	1817		1817		14	1.3																																			64	21									6.4	9.4				0	0																			0.532			0.137																						0	0							
5053827186612	https://world.openfoodfacts.org/product/5053827186612	kiliweb	1521049305	1576871307	W.K Kellogg	Muesli croustillant amandes, noix de cajou et coco	400 g	fr:Point vert,fr:Triman,fr:Boite carton,fr:Sachet plastique,Point vert	fr-point-vert,fr-triman,fr-boite-carton,fr-sachet-plastique,point-vert	Kelloggs,kellogg	kelloggs,kellogg	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Mueslis"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:mueslis					Vegetarian, Kosher, No artificial flavors, Vegan, Halal, High fibres, No added sugar, No artificial colors, Palm oil free, fr:sans-edulcorants-artificiels-ajoutes , en:no-colorings	en:vegetarian,en:kosher,en:no-artificial-flavors,en:vegan,en:halal,en:high-fibres,en:no-added-sugar,en:no-artificial-colors,en:no-colorings,en:palm-oil-free,fr:sans-edulcorants-artificiels-ajoutes					Gap,05000,France	Magasins U,Intermarché,Leclerc	Belgique,France,Pays-Bas,Suisse	Kellny EXTRA AMANDES, NOIX DE CAJOUET COCO AMANDELEN, CASHEW EN KOKOS SANS SUCRES AJOUTES ZONDER TO EGEVO EGDE SUIKERS SANS HUILE DE PALNE COLORANTS NG AROMES ARTIFICELS ZONDER PALNOLTES THA KOEUR C eAAKSTO witery P 10 329			en:nuts	en:nuts	45g	45		0		0			0			-2	a		Cereals and potatoes	Breakfast cereals	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:mueslis	https://static.openfoodfacts.org/images/products/505/382/718/6612/front_fr.60.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6612/front_fr.60.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6612/front_fr.60.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6612/front_fr.60.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6612/ingredients_fr.68.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6612/ingredients_fr.68.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6612/nutrition_fr.50.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6612/nutrition_fr.50.200.jpg		449	1879		18	1.9																																			59	12									8.5	8.5				0.2	0.08																								0.087																				-2	-2							
3760020508012	https://world.openfoodfacts.org/product/3760020508012	openfoodfacts-contributors	1426059254	1581442771	Tartines croquantes sarrasin		150 g, 2 sachets fraîcheur 75 g	"Sachet,Plastique,Etui,en:Green dot,Pensez au tri!,Carton,en:Sachets plastique à jeter,Étui carton à recycler"	sachet,plastique,etui,en-green-dot,pensez-au-tri,carton,en-sachets-plastique-a-jeter,etui-carton-a-recycler	Jardin bio logique,Jardin Bio',Léa Nature	jardin-bio-logique,jardin-bio,lea-nature	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Tartines craquantes"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:crispbreads			France	france	Low or no fat,Low fat,Organic,EU Organic,Gluten-free,Saveurs de l'Année (France),1% for the planet,EU Agriculture,FR-BIO-01,Made in France,No added sugar,No lactose,Palm oil free,fr:AB Agriculture Biologique,fr:Afdiag,fr:Saveurs de l'Année 2016,fr:Fr-030-009	en:low-or-no-fat,en:low-fat,en:organic,en:eu-organic,en:gluten-free,en:1-for-the-planet,en:eu-agriculture,en:fr-bio-01,en:made-in-france,en:no-added-sugar,en:no-lactose,en:palm-oil-free,en:saveurs-de-l-annee-france,fr:ab-agriculture-biologique,fr:afdiag,fr:saveurs-de-l-annee-2016,fr:fr-030-009					France	Magasins U,Intermarché	France,Switzerland, en:belgium	farine de sarrasin* 80% , farine de riz*, sel. *Produits issus de l'agriculture biologique.					20g	20		0		0			0			-3	a	3	Cereals and potatoes	Bread	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:crispbreads	https://static.openfoodfacts.org/images/products/376/002/050/8012/front_fr.85.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8012/front_fr.85.200.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8012/front_fr.85.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8012/front_fr.85.200.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8012/ingredients_en.35.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8012/ingredients_en.35.200.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8012/nutrition_fr.101.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8012/nutrition_fr.101.200.jpg		362	1515		2.3	0.7																																			72	1									4.5	11				0.57	0.228																																												-3	-3							
3175680018939	https://world.openfoodfacts.org/product/3175680018939	davidgard	1409495718	1572265482	Gerblé biscuit muesli avoine	Biscuit, biscuit diététique, biscuit petit-déjeuner	290 g e	boîte carton,Plastique,Carton	boite-carton,plastique,carton	Gerblé	gerble	"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Cookies, Biscuits à l'avoine"	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies,en:oatmeal-cookies			Revel,Haute-Garonne	revel,haute-garonne	Low or no sugar,Low sugar,Reduced sugar,Palm oil free	en:low-or-no-sugar,en:low-sugar,en:reduced-sugar,en:palm-oil-free	EMB 31250	emb-31250		labastide-clermont-haute-garonne-france	France	Intermarché	France	"Farine de _blé_ 48,5 %, muesli 21,4 % (flocons d'_avoine_ 8,2 %, flocons d'_orge_, raisins secs, _noisettes_ torréfiées), huile de colza, sucre de canne roux, germe de _blé_ 5,6 %, pâte de raisins, ﬁbres de chicorée : fructooligosaccharides, extrait de malt d'_orge_, calcium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates de potassium. carbonates d'ammonium), ﬁbres d'_avoine_ 0,5 %, magnésium, sel de mer, protéines de _lait _, amidon de _blé_, vitamines B6, B9 et E (lactose, protéines de _lait_)."	en:gluten,en:milk,en:nuts,fr:avoine	en:gluten,en:milk,en:nuts,fr:avoine	en:eggs,en:lupin,en:nuts,en:sesame-seeds,en:soybeans	en:eggs,en:lupin,en:nuts,en:sesame-seeds,en:soybeans	5 biscuits 72.5g	72.5		4	en:e322,en:e336,en:e500,en:e502	0			0			10	c	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:oatmeal-cookies	https://static.openfoodfacts.org/images/products/317/568/001/8939/front_fr.18.400.jpg	https://static.openfoodfacts.org/images/products/317/568/001/8939/front_fr.18.200.jpg	https://static.openfoodfacts.org/images/products/317/568/001/8939/front_fr.18.400.jpg	https://static.openfoodfacts.org/images/products/317/568/001/8939/front_fr.18.200.jpg	https://static.openfoodfacts.org/images/products/317/568/001/8939/ingredients_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/317/568/001/8939/ingredients_fr.20.200.jpg	https://static.openfoodfacts.org/images/products/317/568/001/8939/nutrition_fr.21.400.jpg	https://static.openfoodfacts.org/images/products/317/568/001/8939/nutrition_fr.21.200.jpg		444	1858		17	1.6																																			60	14									7.7	9				1.5	0.6					0.0053			0.0013			0.0018										0.383			0.156																				10	10							
3760020508371	https://world.openfoodfacts.org/product/3760020508371	openfoodfacts-contributors	1430910390	1574859197	Tartines craquantes multicéréales	Spécialité céréalière au riz, sarrasin, millet et maïs bio	2 * 75 g (150 g)	Carton	carton	Jardin bio,Léa Nature	jardin-bio,lea-nature	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Tartines craquantes, Tartines"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:crispbreads,fr:tartines			France	france	Low or no sugar, Organic, Gluten-free, No added sugar, No lactose, Palm oil free, en:fr-bio-01	en:low-or-no-sugar,en:organic,en:eu-organic,en:gluten-free,en:fr-bio-01,en:no-added-sugar,en:no-lactose,en:palm-oil-free							France	Farine de riz 50%, farine de sarrasin 20%, farine de millet 20%, farine de maïs 9%, sel marin.					Quatre tartines (20 g)	20		0		0			0			-1	a	3	Cereals and potatoes	Bread	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	fr:tartines	https://static.openfoodfacts.org/images/products/376/002/050/8371/front_fr.35.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8371/front_fr.35.200.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8371/front_fr.35.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8371/front_fr.35.200.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8371/ingredients_fr.38.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8371/ingredients_fr.38.200.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8371/nutrition_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/376/002/050/8371/nutrition_fr.11.200.jpg		378	1582		1.6	0.5																																			79	0.6									2.6	9.6				0.5	0.2																																												-1	-1							
5053827202305	https://world.openfoodfacts.org/product/5053827202305	kiliweb	1551250934	1581442969	Extra Framboises, pommes et Carottes	Mélange de céréales croustillantes sans sucres ajoutés avec de la pomme, de la carotte et de la framboise	8 x 45 g			Kellogg's	kellogg-s	Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Mueslis,Mueslis with fruits	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:mueslis,en:mueslis-with-fruits					Vegetarian,No artificial flavors,Vegan,Natural flavors,No added sugar,Palm oil free	en:vegetarian,en:no-artificial-flavors,en:vegan,en:natural-flavors,en:no-added-sugar,en:palm-oil-free							France, en:belgium	Céréales complètes (67%) (orge complète, avoine complète, seigle complet), purée de dattes, huile de tournesol, pomme (4%), farine de blé, purée de bananes, carotte (3%), framboise lyophilisée (1%), arômes naturels, sel, extrait de malt d'orge.	en:gluten	en:gluten	en:nuts	en:nuts	45g	45		0		0			0			0	b	4	Cereals and potatoes	Breakfast cereals	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:mueslis-with-fruits	https://static.openfoodfacts.org/images/products/505/382/720/2305/front_fr.21.400.jpg	https://static.openfoodfacts.org/images/products/505/382/720/2305/front_fr.21.200.jpg	https://static.openfoodfacts.org/images/products/505/382/720/2305/front_fr.21.400.jpg	https://static.openfoodfacts.org/images/products/505/382/720/2305/front_fr.21.200.jpg	https://static.openfoodfacts.org/images/products/505/382/720/2305/ingredients_fr.22.400.jpg	https://static.openfoodfacts.org/images/products/505/382/720/2305/ingredients_fr.22.200.jpg	https://static.openfoodfacts.org/images/products/505/382/720/2305/nutrition_fr.23.400.jpg	https://static.openfoodfacts.org/images/products/505/382/720/2305/nutrition_fr.23.200.jpg		425	1778		14	1.9																																			62	16									9.4	8.1				0.28	0.112																			0.42			0.245	0.0029	0.075	0.0018																			0	0							
90162800	https://world.openfoodfacts.org/product/90162800	openfoodfacts-contributors	1475792693	1581443011	Red Bull sugar free	Sugar free energy drink	250 ml	canette,métal,aluminium,Alu	canette,metal,aluminium,alu	Red Bull	red-bull	Beverages, Carbonated drinks, Artificially sweetened beverages, Non-Alcoholic beverages, Energy drinks	en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:non-alcoholic-beverages,en:energy-drinks	Austria	austria	"AT5330,Fuschl am See,Österreich"	at5330,fuschl-am-see,osterreich	Bajo o sin azúcar,Sin azúcar	en:low-or-no-sugar,en:no-sugar					France,Austria,Ireland	Centra,Woolworths	Australia,Austria,Bélgica,Francia,Alemania,Irlanda,España,Suiza,Reino Unido, en:italy	Water, Acid (Citric Acid), Carbon Dioxide, Taurine (0.4%), Acidity Regulators (Sodium Carboara Magnesium Carbonates Sweeteners (Acesulfame K, Aspartame), Caffeine (0.03%), Vitamins (Niacin nlathenic Acid, B6, B12), Flavourings, Thickener xanthan Gum), Colours (Plain Caramel, Riboflavin) Contiains a source of Phenylanine.					250ml	250		6	en:e150a,en:e290,en:e330,en:e415,en:e950,en:e951	0			0			1	b	4	Beverages	Artificially sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:energy-drinks	https://static.openfoodfacts.org/images/products/90162800/front_en.67.400.jpg	https://static.openfoodfacts.org/images/products/90162800/front_en.67.200.jpg	https://static.openfoodfacts.org/images/products/90162800/front_en.67.400.jpg	https://static.openfoodfacts.org/images/products/90162800/front_en.67.200.jpg	https://static.openfoodfacts.org/images/products/90162800/ingredients_en.62.400.jpg	https://static.openfoodfacts.org/images/products/90162800/ingredients_en.62.200.jpg	https://static.openfoodfacts.org/images/products/90162800/nutrition_en.65.400.jpg	https://static.openfoodfacts.org/images/products/90162800/nutrition_en.65.200.jpg		3	13		0	0																																			0	0									0	0				0.1	0.04										0.008	0.002			2e-06		0.002																	0.032	0.4										1	0							
5053827186643	https://world.openfoodfacts.org/product/5053827186643	kiliweb	1523028126	1548673798	W.k Kellogg muesli croustillant abricot et graines de courge	Mélange de céréales croustillantes sans sucre ajoutés avec des abricots séchés et des graines de courges	400 g	fr:Triman,fr:Point vert	fr-triman,fr-point-vert	W.K. Kellogg	w-k-kellogg	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals					Végétarien, Kascher, Végétalien, Riche en fibres, Sans sucre ajouté, Sans arômes artificiels, Sans édulcorant artificiel, Sans colorants, Sans huile de palme	en:vegetarian,en:kosher,en:no-artificial-flavors,en:vegan,en:high-fibres,en:no-added-sugar,en:no-artificial-sweeteners,en:no-colorings,en:palm-oil-free					05000,Gap,France	Magasins U,Leclerc	Belgium,France,Netherlands	céréales 64% (pétales d'_orge_ complète 27%, _avoine_ 23%, _seigle_ complèt 13%, farine de _blé_, farine d'_avoine_), purée de dattes 14%, abricot 10% (conservateur (_dioxyde de soufre_)), huile de tournesol, purée de bananes, graines de courge 3%, arômes naturels, extrait de malt d'_orge_, sel	en:gluten,en:Dioxyde de soufre,fr:Dioxyde de soufre,fr:dioxyde de soufre	en:gluten,en:dioxyde-de-soufre,fr:dioxyde-de-soufre,fr:avoine,fr:dioxyde-de-soufre			45 g	45		1	en:e220	0			0			5	c	4	Cereals and potatoes	Breakfast cereals	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:breakfast-cereals	https://static.openfoodfacts.org/images/products/505/382/718/6643/front_fr.41.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6643/front_fr.41.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6643/front_fr.41.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6643/front_fr.41.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6643/ingredients_fr.38.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6643/ingredients_fr.38.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6643/nutrition_fr.16.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/6643/nutrition_fr.16.200.jpg		431	1803		15	2.1																																			61	16										8.6				0.2	0.08																								0.088																				5	5							
3456300010664	https://world.openfoodfacts.org/product/3456300010664	kiliweb	1556123932	1571584756	Lunettes chocolat noir		175 g			Léa Nature	lea-nature							Made in France,No added sugar,Palm oil free	en:made-in-france,en:no-added-sugar,en:palm-oil-free							France	"farine de blé; fourrage au chocolat (chocolat 23% (édulcorants: maltitols et isomalt, pâte de cacao, beurre de cacao, poudre de cacao), huile de colza); édulcorants: maltitols et isomalt; huile de colza; beurre concentré 5,3% (lait ) ; fibre soluble (gluten); poudres à lever carbonates de sodium et carbonates d'ammonium; sel. Peut contenir des traces de : sésame, soja, ceufs, fruits à coque, lupin. **Sans huile de palme, comme tous les produits du marché. Ma pause gourmande : 1 lunette chocolat noir Karéléa Poids net: 1 thé ou 1 café non sucré 175g Contient 6 portions Mis au point et fabriqué en France. de 1 biscuit."		en:gluten,en:milk	en:lupin,en:nuts,en:soybeans	en:lupin,en:nuts,en:soybeans	29.2g	29.2		4	en:e500,en:e503,en:e953,en:e965	0			0					4	unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded		https://static.openfoodfacts.org/images/products/345/630/001/0664/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/345/630/001/0664/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/345/630/001/0664/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/345/630/001/0664/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/345/630/001/0664/ingredients_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/345/630/001/0664/ingredients_fr.9.200.jpg			1930		1930		24	9.25																																			61.6	0.342									6.85	6.16				0.411	0.164																																																				
5053827188876	https://world.openfoodfacts.org/product/5053827188876	kiliweb	1529907415	1581443397	Cereali integrali original		300 g			Kellogg's	kellogg-s	Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals					"Organic, Vegetarian, EU Organic, Vegan, No added sugar, Palm oil free, es:100 % trigo integral, es:Sin colorantes ni aromas artificiales , en:eu-non-eu-agriculture"	en:organic,en:vegetarian,en:eu-organic,en:vegan,en:eu-non-eu-agriculture,en:no-added-sugar,en:palm-oil-free,es:100-trigo-integral,es:sin-colorantes-ni-aromas-artificiales					España	Carrefour,El Corte Inglés	Italia,España, en:france, en:bahrain, en:portugal	Trigo integral 100%.	en:gluten	en:gluten	en:gluten	en:gluten				0		0			0			-6	a	1	Cereals and potatoes	Breakfast cereals	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:breakfast-cereals	https://static.openfoodfacts.org/images/products/505/382/718/8876/front_es.22.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/8876/front_es.22.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/8876/front_es.22.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/8876/front_es.22.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/8876/ingredients_es.24.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/8876/ingredients_es.24.200.jpg	https://static.openfoodfacts.org/images/products/505/382/718/8876/nutrition_es.20.400.jpg	https://static.openfoodfacts.org/images/products/505/382/718/8876/nutrition_es.20.200.jpg		371	1552		2.5	0.3																																			68	2.4									10	14				0	0																								0.085																				-6	-6							
